2024
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PES|PAN_PRD_MC|PAN_PRD|PAN_MC|PRD_MC|PRI_PVEM_PANAL|PRI_PVEM|PRI_PANAL|PVEM_PANAL|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CNR|NULOS|TOTAL|RAC|JAMK|AMLO|JHRC|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|1|344|C|3|0|3|626|2|2|1|Estrato 1|0||6|67|86|4|1|10|5|11|184|6|0|0|0|0|0|0|2|0|2|3|0|0|3|14|408|76|100|205|10|2018|7|1|20|19|47|1|N
1|1|356|C|1|0|1|650|3|8|1|Estrato 1|0||15|74|67|5|6|22|2|7|91|8|1|0|0|0|1|0|2|0|4|1|0|1|0|16|330|82|83|127|22|2018|7|1|20|27|28|1|N
1|1|370|C|1|0|2|681|3|8|1|Estrato 1|0||23|139|56|2|8|16|1|4|100|3|0|1|0|0|0|0|1|0|2|0|1|1|0|8|360|143|69|123|17|2018|7|1|19|3|32|1|N
1|1|377|C|1|0|1|506|3|8|1|Estrato 1|0||28|68|43|5|1|15|1|5|74|5|3|2|0|0|0|0|0|0|2|1|0|0|1|9|253|79|49|97|18|2018|7|1|19|52|47|1|N
1|1|397|C|2|0|1|722|5|7|1|Estrato 1|0||101|116|82|7|6|24|0|2|94|5|0|0|0|0|3|1|0|0|3|1|1|2|0|6|376|123|94|130|23|2018|7|1|20|21|52|1|N
1|1|399|C|1|0|3|501|5|7|1|Estrato 1|0||104|73|84|3|4|10|4|2|51|5|0|1|0|0|1|1|0|0|1|0|0|0|0|7|264|81|92|67|17|2018|7|1|19|10|12|1|N
1|1|404|C|1|0|3|397|10|4|1|Estrato 1|0||83|78|55|0|6|9|3|6|70|3|1|0|0|0|0|1|0|0|1|0|0|0|0|8|253|82|68|83|12|2018|7|1|19|37|59|1|N
1|1|407|B|1|0|3|515|5|7|1|Estrato 1|0||95|77|100|2|14|16|1|1|45|3|1|0|0|0|0|4|0|0|3|0|0|1|1|14|296|81|119|68|13|2018|7|1|20|24|7|1|N
1|1|413|B|1|0|2|703|5|4|1|Estrato 1|0||111|233|50|4|4|10|2|5|119|2|8|0|0|0|2|0|2|0|5|3|0|0|0|5|485|247|63|139|31|2018|7|1|20|12|3|1|N
1|1|428|C|3|0|3|605|6|3|1|Estrato 1|0||47|85|36|29|5|18|2|22|81|8|5|6|1|0|1|0|2|0|4|0|0|3|0|9|327|128|66|114|10|2018|7|1|19|43|43|1|N
1|1|450|C|1|0|2|600|7|1|1|Estrato 1|0||60|74|62|3|3|33|8|2|90|11|1|0|1|1|0|0|0|0|3|1|0|0|0|13|326|88|67|138|20|2018|7|1|19|8|58|1|N
1|1|473|C|3|0|2|724|10|4|1|Estrato 1|0||76|71|98|2|4|12|3|6|171|7|3|1|0|0|1|0|0|0|5|1|0|1|0|17|427|80|109|197|24|2018|7|1|20|15|39|1|N
1|1|484|C|1|0|3|431|11|2|1|Estrato 1|0||86|68|52|3|0|12|3|5|86|3|1|1|0|0|2|0|0|0|4|0|1|0|0|6|260|76|59|106|13|2018|7|1|19|12|58|1|N
1|2|82|B|1|0|1|677|1|5|2|Estrato 2|0||3|138|53|0|1|14|5|5|140|4|1|0|0|1|2|0|0|0|1|1|0|1|0|3|403|145|61|161|33|2018|7|1|20|2|7|1|N
1|2|86|B|1|0|1|673|1|5|2|Estrato 2|0||29|76|87|5|3|13|2|3|139|7|0|0|0|0|1|0|1|0|2|4|0|2|0|10|387|83|95|167|32|2018|7|1|20|24|28|1|N
1|2|106|C|1|0|1|582|1|11|2|Estrato 2|0||20|92|32|0|3|23|3|1|115|3|2|1|0|0|0|0|0|0|0|2|0|0|0|7|317|98|36|143|33|2018|7|1|20|3|51|1|N
1|2|119|C|2|0|1|702|1|13|2|Estrato 2|0||23|151|49|1|3|15|1|3|195|8|7|0|1|0|1|1|1|0|8|0|0|1|1|8|493|161|58|227|38|2018|7|1|20|8|51|1|N
1|2|135|B|1|0|1|625|1|15|2|Estrato 2|0||70|82|71|5|2|16|3|3|144|7|6|1|0|1|1|1|1|0|5|5|1|1|1|15|409|98|79|179|37|2018|7|1|19|52|49|1|N
1|2|152|C|1|0|1|707|1|15|2|Estrato 2|0||121|81|65|26|4|17|6|2|132|12|1|0|0|0|1|0|0|0|3|1|0|1|1|6|386|114|72|166|27|2018|7|1|20|26|23|1|N
1|2|154|B|1|0|1|537|1|15|2|Estrato 2|0||83|43|56|8|2|17|0|3|66|7|0|2|0|0|1|1|0|0|6|2|1|2|0|9|246|53|63|101|20|2018|7|1|19|35|56|1|N
1|2|155|C|1|0|1|658|1|15|2|Estrato 2|0||103|74|68|7|3|16|4|0|137|7|2|1|1|1|0|1|0|0|0|2|0|0|0|8|365|90|72|162|33|2018|7|1|19|36|3|1|N
1|2|156|E|1|1|1|715|1|14|2|Estrato 2|0||109|175|60|2|2|13|4|1|186|8|2|2|1|0|0|1|0|0|9|1|0|3|0|7|528|186|64|220|51|2018|7|1|20|30|33|1|N
1|2|316|C|3|0|2|656|1|12|2|Estrato 2|0||122|65|64|4|4|6|4|1|212|8|0|1|0|0|1|1|3|0|8|3|0|0|0|16|416|74|74|237|15|2018|7|1|19|35|9|1|N
1|2|318|E|1|16|2|725|1|12|2|Estrato 2|0||129|51|47|0|2|11|6|4|103|3|2|0|1|0|1|0|0|0|5|0|0|1|0|7|267|60|54|123|23|2018|7|1|20|30|2|1|N
1|2|551|B|1|0|1|744|1|16|2|Estrato 2|0||67|112|46|3|6|19|4|2|199|7|1|0|0|0|4|0|0|0|5|1|0|1|3|6|473|120|58|232|54|2018|7|1|20|14|50|1|N
1|2|561|B|1|0|1|358|1|15|2|Estrato 2|0||88|71|19|1|3|10|2|1|103|3|1|1|0|0|0|0|0|0|1|0|0|3|0|4|223|76|23|120|0|2018|7|1|19|52|38|1|N
1|2|581|B|1|0|1|405|1|16|2|Estrato 2|0||98|60|39|1|1|14|6|6|64|4|1|0|0|0|0|0|0|0|3|0|0|2|0|7|223|68|46|87|15|2018|7|1|20|5|8|1|N
1|3|30|B|1|0|1|613|1|10|3|Estrato 3|0||25|112|53|3|2|10|1|1|90|4|2|0|1|0|1|1|0|0|2|1|0|2|3|12|323|119|58|109|22|2018|7|1|20|8|24|1|N
1|3|40|B|1|0|1|639|1|17|3|Estrato 3|0||44|181|48|3|0|18|1|1|93|3|4|1|0|0|0|2|0|1|6|1|0|1|4|6|399|190|52|122|25|2018|7|1|20|33|22|1|N
1|3|40|C|1|0|1|639|1|17|3|Estrato 3|0||44|169|54|2|0|6|1|0|118|6|6|0|0|0|0|0|0|0|5|0|0|0|3|7|405|178|54|135|28|2018|7|1|20|37|18|1|N
1|3|53|B|1|0|1|531|1|6|3|Estrato 3|0||17|139|52|1|2|4|1|4|109|3|5|0|0|0|1|1|0|0|5|1|0|0|3|4|368|146|60|122|33|2018|7|1|19|31|42|1|N
1|3|161|C|1|0|1|698|1|18|3|Estrato 3|0||104|214|68|0|1|16|2|1|128|12|2|0|0|0|1|0|0|0|3|0|0|2|0|7|497|218|71|161|40|2018|7|1|19|48|44|1|N
1|3|161|C|2|0|1|698|1|18|3|Estrato 3|0||104|193|58|2|3|8|7|3|113|6|4|1|0|0|2|0|0|0|9|0|0|1|2|5|467|207|66|137|50|2018|7|1|20|23|8|1|N
1|3|173|B|1|0|1|525|1|17|3|Estrato 3|0||42|146|35|3|2|10|5|1|84|2|1|3|0|0|0|1|0|1|1|1|0|0|0|6|325|158|40|98|23|2018|7|1|20|35|47|1|N
1|3|174|C|1|0|1|501|1|17|3|Estrato 3|0||43|136|46|3|2|5|3|0|83|2|1|2|1|0|3|1|0|0|4|0|0|0|1|5|323|146|52|94|25|2018|7|1|20|36|2|1|N
1|3|216|C|1|0|1|428|1|17|3|Estrato 3|0||51|170|24|0|0|1|2|1|81|4|5|1|0|0|0|0|0|0|6|1|0|0|0|1|319|178|25|93|22|2018|7|1|20|26|30|1|N
1|3|257|C|3|0|1|709|1|9|3|Estrato 3|0||75|116|65|1|0|15|2|2|117|9|2|1|1|0|2|2|1|0|6|1|0|4|0|9|391|123|72|152|35|2018|7|1|20|20|54|1|N
1|3|288|C|1|0|1|392|1|17|3|Estrato 3|0||49|94|30|8|1|12|2|2|66|3|1|1|1|0|0|0|0|1|4|0|0|2|0|5|263|107|34|87|30|2018|7|1|20|8|19|1|N
1|3|300|C|1|0|1|484|1|10|3|Estrato 3|0||34|64|32|4|2|9|0|3|118|3|3|0|0|0|0|0|0|0|3|1|0|0|2|7|277|71|37|134|26|2018|7|1|19|57|26|1|N
1|3|306|C|1|0|1|534|1|10|3|Estrato 3|0||36|56|50|1|4|12|2|4|115|6|5|0|0|0|0|0|0|0|4|0|0|0|0|10|294|64|58|137|25|2018|7|1|20|12|22|1|N
1|3|308|B|1|0|1|462|1|10|3|Estrato 3|0||37|78|46|3|1|12|0|6|106|8|3|0|0|1|1|0|0|0|3|0|0|0|5|8|306|85|54|129|25|2018|7|1|20|18|16|1|N
1|3|322|C|6|0|2|711|1|10|3|Estrato 3|0||136|140|58|3|4|22|4|3|116|10|1|1|0|0|0|2|0|0|4|1|0|1|0|11|408|149|67|154|27|2018|7|1|19|44|9|1|N
