181
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PES|PAN_PRD_MC|PAN_PRD|PAN_MC|PRD_MC|PRI_PVEM_PANAL|PRI_PVEM|PRI_PANAL|PVEM_PANAL|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CNR|NULOS|TOTAL|RAC|JAMK|AMLO|JHRC|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
7|5|353|E|1|0|3|405|23|22|29|Estrato 29|5|Estrato 5|23|12|63|2|43|18|5|3|196|6|0|0|0|0|0|2|0|0|3|0|0|0|1|12|368|19|111|223|2|2018|7|1|19|19|3|1|N
9|5|4014|C|2|0|1|575|12|16|64|Estrato 64|16|Estrato 16|104|161|69|5|1|12|2|1|158|2|5|2|1|0|4|1|0|0|4|0|0|0|3|3|457|176|76|176|23|2018|7|1|19|21|57|1|N
10|1|1280|B|1|0|3|351|35|7|82|Estrato 82|0||144|20|26|3|3|7|2|2|115|7|0|1|0|0|0|0|1|0|1|0|0|1|2|5|197|26|32|131|1|2018|7|1|18|57|31|1|N
10|2|540|C|1|0|1|403|7|12|83|Estrato 83|0||16|37|32|4|3|9|4|2|125|6|2|0|0|0|0|0|0|0|0|2|0|1|0|8|244|47|37|143|9|2018|7|1|19|10|14|1|N
10|2|559|B|1|0|3|682|7|10|83|Estrato 83|0||87|43|56|2|0|16|6|6|190|11|3|0|1|0|0|0|0|0|7|4|1|3|0|7|360|55|62|232|4|2018|7|1|19|18|29|1|N
10|2|915|C|1|0|1|402|19|8|83|Estrato 83|0||136|34|19|1|2|14|0|2|105|4|1|1|0|1|0|0|0|0|5|0|0|1|0|4|212|38|23|129|18|2018|7|1|19|19|46|1|N
10|3|1159|B|1|0|3|188|29|8|84|Estrato 84|0||139|59|42|0|1|0|0|0|8|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|111|59|44|8|0|2018|7|1|19|3|57|1|N
10|4|118|C|8|0|1|737|5|1|85|Estrato 85|0||122|85|51|3|3|3|6|0|115|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9|334|94|54|118|58|2018|7|1|19|7|35|1|N
10|4|162|C|2|0|1|595|5|1|85|Estrato 85|0||100|96|42|2|3|35|7|2|81|6|3|0|1|0|2|1|0|0|7|6|0|1|0|7|334|109|50|136|32|2018|7|1|19|6|37|1|N
10|4|177|B|1|0|1|588|5|2|85|Estrato 85|0||32|55|30|6|1|56|9|1|62|6|7|4|1|0|1|1|0|0|8|6|1|2|0|5|283|82|34|141|21|2018|7|1|19|19|0|1|N
